Data;Nome da Empresa;TICKER;"EBIT
12 meses
Consolidado
 Milh�es
IFRS";EV;EBIT/EV;EV/EBIT;ROE;ROIC;ROA
30/06/2012;SANSUY;SNSY6;-11.94;86.01;-0.14;-7.20;25.63;3.41;-18.57
31/12/2011;SANSUY;SNSY6;1.44;79.14;0.02;55.15;25.07;-0.47;-16.76
30/06/2011;SANSUY;SNSY6;;81.69;;;;;
31/12/2010;SANSUY;SNSY6;17.09;78.76;0.22;4.61;16.93;-7.86;-9.10
30/06/2010;SANSUY;SNSY6;;38.42;;;;;
31/12/2009;SANSUY;SNSY6;;46.67;;;;;
31/12/2020;FLEURY;FLRY3;479.00;9,428.10;0.05;19.68;14.68;8.65;4.65
30/06/2020;FLEURY;FLRY3;324.96;8,730.15;0.04;26.87;8.56;6.18;2.45
31/12/2019;FLEURY;FLRY3;560.51;10,577.56;0.05;18.87;17.76;11.16;6.13
30/06/2019;FLEURY;FLRY3;505.45;7,568.52;0.07;14.97;18.42;12.02;6.72
31/12/2018;FLEURY;FLRY3;502.35;6,819.98;0.07;13.58;18.95;11.02;8.48
30/06/2018;FLEURY;FLRY3;494.73;8,593.48;0.06;17.37;19.78;10.67;8.65
31/12/2017;FLEURY;FLRY3;475.94;9,747.87;0.05;20.48;18.79;11.38;9.09
30/06/2017;FLEURY;FLRY3;422.71;8,659.17;0.05;20.49;18.67;11.27;9.77
31/12/2016;FLEURY;FLRY3;337.74;5,877.11;0.06;17.40;14.90;9.41;7.61
30/06/2016;FLEURY;FLRY3;297.30;4,392.27;0.07;14.77;8.74;7.20;4.59
31/12/2015;FLEURY;FLRY3;235.52;2,748.91;0.09;11.67;6.48;5.88;3.35
30/06/2015;FLEURY;FLRY3;218.90;3,376.37;0.06;15.42;5.56;5.45;2.73
31/12/2014;FLEURY;FLRY3;194.12;3,034.24;0.06;15.63;5.45;4.91;2.67
30/06/2014;FLEURY;FLRY3;153.36;3,081.74;0.05;20.09;3.67;3.87;1.88
31/12/2013;FLEURY;FLRY3;169.15;3,320.38;0.05;19.63;3.62;4.18;1.90
30/06/2013;FLEURY;FLRY3;205.28;3,250.58;0.06;15.83;4.93;4.92;2.63
31/12/2012;FLEURY;FLRY3;214.51;3,904.24;0.05;18.20;6.25;6.25;3.89
30/06/2012;FLEURY;FLRY3;167.69;4,399.98;0.04;26.24;6.12;4.87;3.81
31/12/2011;FLEURY;FLRY3;141.05;3,433.76;0.04;24.35;6.17;4.19;3.55
30/06/2011;FLEURY;FLRY3;;2,574.12;;;;;
31/12/2010;FLEURY;FLRY3;168.61;3,088.08;0.05;18.32;12.85;10.10;9.79
30/06/2010;FLEURY;FLRY3;;2,149.41;;;;;
31/12/2009;FLEURY;FLRY3;;1,887.94;;;;;
31/12/2020;MINERVA;BEEF3;1,793.77;10,686.81;0.17;5.96;82.98;9.54;4.12
30/06/2020;MINERVA;BEEF3;1,714.56;11,669.81;0.15;6.81;81.78;8.64;4.04
31/12/2019;MINERVA;BEEF3;1,462.08;11,081.25;0.13;7.58;-5.74;9.46;0.12
30/06/2019;MINERVA;BEEF3;1,319.92;9,223.55;0.14;6.99;94.49;9.82;-3.20
31/12/2018;MINERVA;BEEF3;674.51;7,984.16;0.08;11.84;420.03;4.38;-9.86
30/06/2018;MINERVA;BEEF3;463.86;8,308.71;0.06;17.91;118.12;3.06;-10.58
31/12/2017;MINERVA;BEEF3;989.54;8,302.84;0.12;8.39;-394.90;6.75;-2.36
30/06/2017;MINERVA;BEEF3;860.16;6,833.02;0.13;7.94;1.81;6.51;0.07
31/12/2016;MINERVA;BEEF3;886.99;6,283.98;0.14;7.08;37.36;7.97;2.18
30/06/2016;MINERVA;BEEF3;1,000.93;5,186.78;0.19;5.18;-39.83;10.33;-2.93
31/12/2015;MINERVA;BEEF3;921.75;6,657.96;0.14;7.22;209.00;9.18;-9.62
30/06/2015;MINERVA;BEEF3;675.96;5,784.94;0.12;8.56;-405.70;6.85;-11.97
31/12/2014;MINERVA;BEEF3;593.55;4,539.10;0.13;7.65;-87.03;6.75;-5.79
30/06/2014;MINERVA;BEEF3;540.24;3,927.70;0.14;7.27;-6.40;7.47;-0.62
31/12/2013;MINERVA;BEEF3;459.52;3,497.29;0.13;7.61;-70.84;7.83;-6.31
30/06/2013;MINERVA;BEEF3;459.51;3,330.08;0.14;7.25;-38.98;8.50;-4.24
31/12/2012;MINERVA;BEEF3;418.43;3,024.93;0.14;7.23;-26.36;8.07;-4.55
30/06/2012;MINERVA;BEEF3;335.66;2,473.95;0.14;7.37;-40.19;7.78;-4.55
